GPST AZ LAT LON
1298964500.407455 269.15429607559884 5959.77887 03017.43009
1298964500.596942 271.37535353189196 5959.77876 03017.42964
1298964500.780698 274.2124314260248 5959.77871 03017.42929
1298964501.01437 274.6589802402237 5959.77860 03017.42858
1298964501.404035 275.6845343042536 5959.77855 03017.42827
1298964501.587723 273.51870420934694 5959.77844 03017.42787
1298964501.655533 273.13241770643543 5959.77841 03017.42753
1298964501.844976 270.69842093333057 5959.77835 03017.42720
1298964502.228902 266.6397704968626 5959.77827 03017.42690
1298964502.412644 266.0555701380314 5959.77820 03017.42664
1298964502.486454 265.89073123106715 5959.77815 03017.42631
1298964502.819132 267.9523044626516 5959.77811 03017.42606
1298964503.052679 268.67394519707756 5959.77815 03017.42571
1298964503.236356 270.4803885015814 5959.77806 03017.42555
1298964503.344097 271.65575478193176 5959.77802 03017.42535
1298964503.426377 271.90231756006136 5959.77798 03017.42507
1298964503.800243 272.0180238661803 5959.77795 03017.42485
1298964504.016917 271.09976268219805 5959.77795 03017.42456
1298964504.090894 271.3484541068668 5959.77791 03017.42429
1298964504.425166 272.7676851491692 5959.77787 03017.42400
1298964504.658738 273.88137650483435 5959.77781 03017.42366
1298964504.842428 272.60909408208477 5959.77777 03017.42335
1298964505.081773 271.284196451338 5959.77771 03017.42301
1298964505.265557 271.5072592495089 5959.77766 03017.42268
1298964505.449353 270.23865398847096 5959.77761 03017.42237
1298964505.522742 270.7852556783699 5959.77757 03017.42198
1298964505.906738 272.15504382843733 5959.77755 03017.42164
1298964506.014727 273.06067026982316 5959.77756 03017.42126
1298964506.08829 273.684018196186 5959.77750 03017.42088
1298964506.271869 276.3063355215819 5959.77750 03017.42052
1298964506.65584 280.06504388996314 5959.77747 03017.42022
1298964506.845495 280.24263889971957 5959.77746 03017.41985
1298964506.913176 280.2649027093408 5959.77744 03017.41953
1298964507.244551 279.50545588604797 5959.77742 03017.41915
1298964507.428027 278.6513746529482 5959.77743 03017.41879
1298964507.667784 277.785293271972 5959.77744 03017.41848
1298964507.851426 276.2484263027038 5959.77743 03017.41812
